year,book,author,language
2023,Dr. Pranavjyoti Dekar Srestha Galpa (Short Stories),Pranavjyoti Deka,ASSAMESE
2022,Bhool Satya (Short Stories),Manoj Kumar Goswami ,ASSAMESE
2021,Iyat Ekhan Aaronya Asil (Novel) ,Anuradha Sarma Pujari ,ASSAMESE
2020,Bengsata (Short Stories),Apurba Kumar Saikia,ASSAMESE
2019,Chanakya (Novel),Joysree Goswami Mahanta,ASSAMESE
2018,Kailoir Dinto Amar Hobo (Poetry),Sananta Tanti ,ASSAMESE
2017,Moriahola (Novel),Jayanta Madhab Bora,ASSAMESE
2016,Meghmalar Bhraman (Poetry),Jnan Pujari,ASSAMESE
2015,Akashar Chhabi Aru Anyanya Galpa (Short Stories),Kula Saikia,ASSAMESE
2014,Mariam Astin Athaba Hira Barua(Short Stories),Arupa Patangia Kalita,ASSAMESE
2012,Patkair Ipare Mor Desh (Novel),Chandana Goswami,ASSAMESE
2011,Ei Anuragi Ei Udasi (Poetry),*Kabin Phukan,ASSAMESE
2010,Asomiya Ramayani Sahitya: Kathabostur Atiguri (Criticism),Keshada Mahanta,ASSAMESE
2009,Katha Ratnakara (Novel),Dhruba Jyoti Bora,ASSAMESE
2008,Deou Langkhui (Novel),Rita Choudhury,ASSAMESE
2007,Santanukulanandan (Novel),Purabi Bormudoi,ASSAMESE
2006,Cheneh Jorir Ganthi (Short stories),Atulananda Goswami,ASSAMESE
2005,Mouna Ounth Mukhar Hriday (Novel),Yeshe Dorje Thongchi,ASSAMESE
2004,Manuh Anukule (Poetry),Hirendra Nath Dutta,ASSAMESE
2003,Anek Manuh Anek Aru Nirjanata (Poetry),Bireswar Barua,ASSAMESE
2002,Mahat Oitiyya (Criticism),Nalinidhar Bhattacharyya,ASSAMESE
2001,Edhani Mahir Hanhi (Novel),Mahim Bora,ASSAMESE
2000,Baghe Tapur Rati (Short stories),Apurba Sarma,ASSAMESE
1999,Biponna Samay (Novel),Medini Choudhury,ASSAMESE
1998,Asirbadar Rang (Novel),Arun Sarma,ASSAMESE
1997,Andharat Nijar Mukh (Short stories),Nagen Saikia,ASSAMESE
1996,Abhijatri (Novel),Nirupama Borgohain,ASSAMESE
1995,Maharathi (Novel),Chandra Prasad Saikia,ASSAMESE
1994,Madhupur Bahudur (Short stories),Sheelbhadra (Rabati Mohan Datta Choudhury),ASSAMESE
1993,Mor Je Kiman Hepah (Poetry),Keshav Mahanta,ASSAMESE
1992,Shaichar Pathar Manuh (Poetry),Hiren Bhattacharjya,ASSAMESE
1991,Brahmaputra Ityadi Padya (Poetry),Ajit Barua,ASSAMESE
1990,Snehadevir Ekuki Galpa (Short stories),*Sneha Devi,ASSAMESE
1989,Asamiya Jatiya Jivanata Mahapurushiya Parampara (Literary criticism),Hiren Gohain,ASSAMESE
1988,Patal Bahirabi (Novel),Lakshminandan Bora,ASSAMESE
1987,Aan Ejan (Poetry),Harekrishna Deka,ASSAMESE
1986,Benudhar Sarma (Biography),Tirthanath Sarma,ASSAMESE
1985,Krishna Kanta Handiqui Rachna-Sambhar (Literary criticism),*Krishnakanta Handiqui,ASSAMESE
1984,Jangam (Novel),*Devendra Nath Acharya,ASSAMESE
1983,Sudirgha Din Aru Ritu (Poetry),Nirmalprabha Bardoloi,ASSAMESE
1982,Mamare Dhara Tarowal Aru Dukhan Upanyasa (Novel),Indira Goswami (Mamoni Raisom Goswami),ASSAMESE
1981,Kavita (Poetry),Nilamani Phookan ( Jr.),ASSAMESE
1980,Prithibir Asukh (Short stories),Jogesh Das,ASSAMESE
1979,Sonali Jahaj (Poetry),Bhaben Barua,ASSAMESE
1978,Pita Putra (Novel),Homen Borgohain,ASSAMESE
1977,Bakul Banar Kavita (Poetry),Anand Chandra Barua,ASSAMESE
1976,Srinkhal (Short stories),Bhabendra Nath Saikia,ASSAMESE
1975,Kaka Deutar Har (Novel),Navakanta Barua,ASSAMESE
1974,Golam (Short stories),Saurabh Kumar Chaliha,ASSAMESE
1972,Aghari Atmar Kahini (Novel),Syed Abdul Malik,ASSAMESE
1970,Mahatmar Pora Rupkonarloi (Reminiscenses),Lakshminath Phookan,ASSAMESE
1969,Manchalekha (Study of Assamese theatre),Atul Chandra Hazarika,ASSAMESE
1968,Alakananda (Poetry),Nalinibala Devi,ASSAMESE
1967,Adhunik Galpa Sahitya (Literary criticism),Trailokyanath Goswami,ASSAMESE
1966,Bedanar Ulka (Poetry),Ambikagiri Roychoudhuri,ASSAMESE
1964,Asamar Lok-Sanskriti (Study in folk culture),*Birinchi Kumar Barua,ASSAMESE
1961,Iyaruingam (Novel),Birendra Kumar Bhattacharyya,ASSAMESE
1960,Kangrechar Kachiyali Ra’dat (Reminiscences),Benudhar Sarma,ASSAMESE
1955,Bana Phul (Poetry),Jatindranath Dowerah,ASSAMESE
2023,Jaler Upar Pani (Novel),Swapnamay Chakrabarti,BENGALI
2022,Birbal (Novel),Tapan Bandopadhyay,BENGALI
2021,Mitjafar O Ananya Natale (Play) ,Bratya Basu ,BENGALI
2020,Eka Eka Ekashi (Memoirs),Sankar (Manishankar Mukhopadhyay) ,BENGALI
2019,Ghumer Darja Thele (Essays),Chinmoy Guha,BENGALI
2018,Srikrishner Sesh Kata Din (Story),Sanjib Chattopadhyay,BENGALI
2017,Sei Nikhonj Manusta (Novel),Afsar Ahmed ,BENGALI
2016,Mahabharater Astadashi (Essays),Nrisinghaprasad Bhaduri,BENGALI
2015,Shono Jabaphul (Poetry),Alok Sarkar,BENGALI
2014,Piya Mana Bhabe (Poetry),Utpal Kumar Basu,BENGALI
2013,Dwaipayan Hrader Dhare (Poetry),Subodh Sarkar,BENGALI
2012,Birasan (Novel),Subrata Mukhopadhyaya,BENGALI
2011,Bane Aaj Concherto (Poetry),Manindra Gupta,BENGALI
2010,Khanamihire Dhipi (Novel),Bani Basu,BENGALI
2009,Kena Amra Rabindranathke Cha Ebong Kibhave (Essays),Sourin Bhattacharya,BENGALI
2008,Ghumer Barir Mato Chand (Poetry),Sarat Kumar Mukhopadhyay,BENGALI
2007,Amar Samay Alpa (Poetry),Samarendra Sengupta,BENGALI
2006,Dhrubaputra (Novel),Amar Mitra,BENGALI
2005,Haspatale Lekha Kabitaguchha (Poetry),Binay Mazumdar,BENGALI
2004,Baul Fakir Katha (Essay),Sudhir Chattopadhyay,BENGALI
2003,Krantikal (Novel),Prafulla Roy,BENGALI
2002,Ami O Banabehari (Novel),Sandipan Chattopadhyay,BENGALI
2001,Panchashati Galpa (Short stories),Atin Bandyopadhyaya,BENGALI
2000,Pagli Tomar Sange (Poetry),Joy Goswami,BENGALI
1999,Naba-Nita (Prose-Poetry),Nabaneeta Dev Sen,BENGALI
1998,Anubhav (Novel),Dibyendu Palit,BENGALI
1997,Herbert (Novel),Nabarun Bhattacharya,BENGALI
1996,Tal Betal (Essays),Ashok Mitra,BENGALI
1995,Kavita Sangraha (Poetry),Naresh Guha,BENGALI
1994,Aleek Manush (Novel),Syed Mustafa Siraj,BENGALI
1993,Shahjada Darasukoh (Novel),Shyamal Gangopadhyay,BENGALI
1992,Marami Karat (Poetry),Alokeranjan Dasgupta,BENGALI
1991,Sada Kham (Novel),Moti Nandy,BENGALI
1990,Tista Parer Brittanta (Novel),Debes Ray,BENGALI
1989,Manabjamin (Novel),Sirshendu Mukhopadhyay,BENGALI
1988,Bari Badle Jai (Novel),Ramapada Choudhuri,BENGALI
1987,Khujte Khujte Eto Dur (Poetry),Arun Mitra,BENGALI
1986,Rajnagar (Novel),Amiyabhusan Majumdar,BENGALI
1985,Sei Samay (Part II) (Novel),Sunil Gangopadhyay,BENGALI
1984,Kalbela (Novel),Samaresh Majumdar,BENGALI
1983,Jete Pari Kintu Keno Jabo (Poetry),Sakti Chattopadhyay,BENGALI
1982,Amritasya Putree (Novel),Kamal Das,BENGALI
1981,"Kalikata Darpan, Pt. I (Local history and culture)",Radharaman Mitra,BENGALI
1980,Shamba (Novel),Samaresh Basu ‘Kalkut’,BENGALI
1979,Aranyer Adhikar (Novel),Mahasveta Devi,BENGALI
1978,"Vivekananda O Samakalin Bharatvarsha, Vol. I, II and III (Biography and cultural history)",Sankari Prasad Basu,BENGALI
1977,Babarer Prarthana (Poetry),Sankha Ghosh,BENGALI
1976,Na Hanyate (Novel),Maitreyee Devi,BENGALI
1975,Asamay (Novel),Bimal Kar,BENGALI
1974,Ulanga Raja (Poetry),Nirendranath Chakravarti,BENGALI
1972,Shesh Namaskar (Novel),Santosh Kumar Ghosh,BENGALI
1971,Manimahesh (Travelogue),Umaprasad Mukhopadhyay,BENGALI
1970,Adhunikata O Rabindranath (Literary criticism),Abu Sayeed Ayyub,BENGALI
1969,Mohini Aral (Poetry),Manindra Ray,BENGALI
1967,Tapasvi O Tarangini (Verse Play),Buddhadev Bose,BENGALI
1966,Nishi-Kutumba (Novel),Manoj Basu,BENGALI
1965,Smriti Satta Bhabishyat (Poetry),Bishnu Dey,BENGALI
1964,Jata Durei Jai (Poetry),Subhas Mukhopadhyay,BENGALI
1963,Ghare Pherar Din (Poetry),Amiya Chakravarti,BENGALI
1962,Japane (Travelogue),Annada Sankar Ray,BENGALI
1961,Bharater Sakti-Sadhana O Sakta Sahitya (A study of the Sakti-cult),Sashi Bhushan Dasgupta,BENGALI
1959,Kolkatar Kachhei (Novel),Gajendra Kumar Mitra,BENGALI
1958,Anandibai Ityadi Galpa (Short stories),‘Parashuram’ (Rajshekhar Bose),BENGALI
1957,Sagar Theke Phera (Poetry),Premendra Mitra,BENGALI
1956,Arogya Niketan (Novel),Tarashankar Bandyopadhyay,BENGALI
1955,Shreshtha Kavita (Poetry),*Jibanananda Das,BENGALI
2023,Jiu-Safarni Dakhwn (Short Stories),Nandeswar Daimari,BODO (Since 2005)
2022,Sansrini Modira (Poetry),Rashmi Choudhury,BODO (Since 2005)
2021,Khora Sayao Arw Himalay (Poetry) ,Mwdai Gahai ,BODO (Since 2005)
2020,Gwthenay Lamayao Gwdan Agan  (Short Stories),(late) Dharanidhar Owari,BODO (Since 2005)
2019,Akhai Athumniphrai (Poetry),Phukan Ch. Basumatary,BODO (Since 2005)
2018,Dwngse Lama (Short Stories) ,Rituraj Basumatary,BODO (Since 2005)
2017,Thwisam  (Novel),Rita Boro,BODO (Since 2005)
2016,Ang Maboroi Dong Dasong (Poetry),Anju (Anjali Narzary),BODO (Since 2005)
2015,Baidi Dengkhw Baidi Gab (Poetry),Brajendra Kumar Brahma,BODO (Since 2005)
2014,Udangnifrai Gidingfinnanei (Poetry),Urkhao Gwra Brahma,BODO (Since 2005)
2013,Delphini Onthai Mwdai Arw Gubun Gubun Khonthai (Poetry),Anil Boro,BODO (Since 2005)
2012,Boro Khonthai (Poetry),Guneswar Musahary,BODO (Since 2005)
2011,Okhafwrni Dwima (Poetry),Premananda Mosahari,BODO (Since 2005)
2010,Swdwbni Swler (Poetry),Aurobindo Uzir,BODO (Since 2005)
2009,Dainee? (Novel),*Manoranjan Lahar,BODO (Since 2005)
2008,Birgwsrini Thungri (Novel),Bidyasaqar Narzary,BODO (Since 2005)
2007,Dumphaoni Phitha (Short Stories),Janil Kumar Brahma,BODO (Since 2005)
2006,Sanmwkhangari Lamajwng (Novel),Katindra Swargiary,BODO (Since 2005)
2005,Jiuni Mwgthang Bisombi Arw Aroj (Poetry),Mangalshingh Hazowary,BODO (Since 2005)
2023,Daun Sadiyan Ek Seer (Poetry-Ghazal),Vijay Verma,DOGRI (Since 1970)
2022,Chhe Roopak (Drama),Veena Gupta ,DOGRI (Since 1970)
2021,Namme Tunnel (Short Stories) ,Raj Rahi ,DOGRI (Since 1970)
2020,Baba Jitmal (Play),Gian Singh,DOGRI (Since 1970)
2019,Bandralta Darpan (Essays),Om Sharma Jandriari,DOGRI (Since 1970)
2018,Bhagirath (Novel) ,lnderjeet Kesar,DOGRI (Since 1970)
2017,Banna (Short Stories),Shiv Mehta,DOGRI (Since 1970)
2016,Cheta (Short Stories),Chhatrapal,DOGRI (Since 1970)
2015,Parchhamen Di Lo (Poetry),Dhian Singh,DOGRI (Since 1970)
2014,Hashiye Par (Novel) ,Shailender Singh,DOGRI (Since 1970)
2013,Doha Satsai (Poetry),Sitaram Sapolia,DOGRI (Since 1970)
2012,Tim-Tim Karde Tare (Poetry),*Bal Krishan ‘Bhaura’,DOGRI (Since 1970)
2011,Cheten Diyan Galiyan (Essays),Lalit Magotra,DOGRI (Since 1970)
2010,Pandran Kahaniyan (Short Stories),Manoj,DOGRI (Since 1970)
2009,Geet Sarovar (Poetry),Praduman Singh Jindrahia,DOGRI (Since 1970)
2008,Cheten Di Rhol (Poetry),Champa Sharma,DOGRI (Since 1970)
2007,Mahatma Vidur (Epic),Gian Singh Pagoch,DOGRI (Since 1970)
2006,Kore kaakal Korian Talian (Poetry),Darshan Darshi,DOGRI (Since 1970)
2005,Dhaldi Dhuppe Da Sek (Short Stories),Krishan Sharma,DOGRI (Since 1970)
2004,Cheten Di Chitabri (Essays),Shiv Nath,DOGRI (Since 1970)
2003,Jhull Bada Dea Pattara (Poetry),*Ashwani Magotra,DOGRI (Since 1970)
2002,Trip Trip Chete (Travelogue),Om Vidyarthi,DOGRI (Since 1970)
2001,Nighe Rang (Poetry),Verinder Kesar,DOGRI (Since 1970)
2000,Meel Patthar (Short stories),*Bandhu Sharma,DOGRI (Since 1970)
1999,Mangwi Pashakri (Poetry),*Kuldeep Singh Jindhrahia,DOGRI (Since 1970)
1997,Bakhre Bakhre Sach (Novel),Shiv Dev Singh Sushil,DOGRI (Since 1970)
1996,Baddali Kalave (Poetry),Gianeshwar,DOGRI (Since 1970)
1995,Lalsa (Poetry),Abhishap,DOGRI (Since 1970)
1994,Buddh Suhagan (Plays),Jitendra Sharma,DOGRI (Since 1970)
1992,Jo Tere Man-Chitta Laggi Ja (Poetry),Yash Sharma,DOGRI (Since 1970)
1991,Apni Daphli Apna Raag (Plays),Mohan Singh,DOGRI (Since 1970)
1990,Jeevan Lehran (Poetry),Tara Smailpuri,DOGRI (Since 1970)
1989,Sodh Samundaren Di (Poetry),Mohanlal Sapolia,DOGRI (Since 1970)
1988,Rattu Da Chanan (Poetry),Ram Lal Sharma,DOGRI (Since 1970)
1987,Beddan Dharti Di (Epic),Prakash Premi,DOGRI (Since 1970)
1986,Sunee Di Chiree (Short stories),Om Goswami,DOGRI (Since 1970)
1985,Ayodhya (Play),Dinoo Bhai Pant,DOGRI (Since 1970)
1984,Gamlen De Cactus (Poetry),Shiv Ram ‘Deep’,DOGRI (Since 1970)
1983,Aale (Short stories),Ved Rahi,DOGRI (Since 1970)
1982,Qaidi (Novel),Deshbandhu Dogra ‘Nutan,DOGRI (Since 1970)
1981,Ek Shehr Yaaden Da (Poetry),Jitendra Udhampuri,DOGRI (Since 1970)
1980,Ghar (Poetry),Kunwar Viyogi,DOGRI (Since 1970)
1979,Nanga Rukh (Novel),O.P. Sharma ‘Sarathi’,DOGRI (Since 1970)
1978,Sanjhi Dharti Bakhle Mahnu (Novel),Narsingh Dev Jamwal,DOGRI (Since 1970)
1977,Main Mele Ra Janun (Poetry),Kehri Singh ‘Madhukar’,DOGRI (Since 1970)
1976,Badnami Di Chhan (Short stories),Ram Nath Shastri,DOGRI (Since 1970)
1975,Mere Dogri Geet (Poetry),Krishna Smailpuri,DOGRI (Since 1970)
1974,"Duddh, Lahoo, Zahar (Short stories)",Madan Mohan Sharma,DOGRI (Since 1970)
1972,Phull Bina Dali (Novel),*Srivats Vikal,DOGRI (Since 1970)
1971,Meri Kavita Mere Geet (Poetry),Padma Sachdev,DOGRI (Since 1970)
1970,Nila Ambar Kale Badal (Short stories),*Narendra Khajuria,DOGRI (Since 1970)
2023,Requiem in Raga Janki (Novel),Neelum Saran Gour,ENGLISH
2022,All The Lives We Never Lived (Novel),Anuradha Roy,ENGLISH
2021,Things to Leave Behind (Novel) ,Namita Gokha1e ,ENGLISH
2020,When God Is a Traveller  (Poetry),Arundhathi Subramaniam,ENGLISH
2019,An era of Darkness (Non-Fiction),Shashi Tharoor,ENGLISH
2018,The Blind Lady's Descendants (Novel),Anees Salim ,ENGLISH
2017,The Black Hill (Novel),Mamang Dai,ENGLISH
2016,Em and the big Hoom (Novel),Jerry Pinto,ENGLISH
2015,Chronicle of a Corpse Bearer (Novel),Cyrus Mistry,ENGLISH
2014,Trying to Say Goodbye (Poetry),Adil Jussawalla,ENGLISH
2013,Laburnum For My Head (Short Stories) ,Temsula Ao ,ENGLISH
2012,These Errors Are Correct (Poetry),Jeet Thayil,ENGLISH
2011,India After Gandhi (Narrative History),Ramachandra Guha,ENGLISH
2010,Book of Rachel (Novel),Esther David,ENGLISH
2009,The Mahabharata : An Inquiry in the Human Condition (Critical Analysis),*Badrinath Chaturvedi,ENGLISH
2007,Disorderly Women (Novel),Malathi Rao,ENGLISH
2006,The Sari Shop (Novel),Rupa Bajwa,ENGLISH
2005,The Algebra of Infinite Justice (Essays),Arundhati Roy,ENGLISH
2004,The Mammaries of The Walfare State (Novel),Upamanyu Chatterjee,ENGLISH
2003,The Perishable Empire : Essays On Indian Writing in English (Essays),Meenakshi Mukherjee,ENGLISH
2002,A New World (Novel),Amit Chaudhuri,ENGLISH
2001,Rajaji: A Life (Biography),Rajmohan Gandhi,ENGLISH
2000,Cuckold (Novel),Kiran Nagarkar,ENGLISH
1999,The Collected Poems of A.K. Ramanujan (Poetry),*A.K. Ramanujan,ENGLISH
1998,Final Solutions and other Plays (Plays),Mahesh Dattani,ENGLISH
1996,Memories of Rain (Novel),Sunetra Gupta,ENGLISH
1994,Serendip (Poetry),Dom Moraes,ENGLISH
1993,After Amnesia: Tradition and Change in Indian Literary Criticism (Criticism),G.N. Devy,ENGLISH
1992,Our Trees Still Grow in Dehra (Short stories),Ruskin Bond,ENGLISH
1991,The Trotter-Nama (Novel) ,I. Allan Sealy,ENGLISH
1990,That Long Silence (Novel),Shashi Deshpande,ENGLISH
1989,The Shadow Lines (Novel),Amitav Ghosh,ENGLISH
1988,The Golden Gate (Novel in verse),Vikram Seth,ENGLISH
1987,Trapfalls in the Sky (Poetry),Shiv K. Kumar,ENGLISH
1986,Rich Like Us (Novel),Nayantara Sahgal,ENGLISH
1985,Collected Poems (Poetry),Kamala Das,ENGLISH
1984,The Keeper of the Dead (Poetry),Keki N. Daruwalla,ENGLISH
1983,Latter-Day Psalms (Poetry),Nissim Ezekiel,ENGLISH
1982,The Last Labyrinth (Novel),Arun Joshi,ENGLISH
1981,Relationship (Poetry),Jayant Mahapatra,ENGLISH
1980,"On the Mother, Vol. I and II (Biography)",K.R. Srinivasa lyengar,ENGLISH
1979,Inside the Haveli (Novel),*Rama Mehta,ENGLISH
1978,Fire on the Mountain (Novel),Anita Desai,ENGLISH
1977,Azadi (Novel),Chaman Nahal,ENGLISH
1976,Jawaharlal Nehru (1889-1947) (Biography),S. Gopal,ENGLISH
1975,Scholar Extraordinary (Biography),Nirad C. Chaudhuri,ENGLISH
1971,Morning Face (Novel),Mulk Raj Anand,ENGLISH
1969,An Artist in Life (Study of Tagore),Niharranjan Ray,ENGLISH
1967,Shadow from Ladakh (Novel),Bhabani Bhattacharya,ENGLISH
1965,The Tribal World of Verrier Elwin (Autobiography),*Verrier Elwin,ENGLISH
1963,The Serpent and the Rope (Novel),Raja Rao,ENGLISH
1960,The Guide (Novel),R.K. Narayan,ENGLISH
2023,Sairandhree (Epic Poetry),Vinod Joshi,GUJARATI
2022,Gher Jatan (Autobiographical Essays) ,Gulam Mohammad Shaikh,GUJARATI
2021,Gandh Manjusha (Poetry),Yagnesh Dave,GUJARATI
2020,Banaras Diary (Poetry),Harish Meenashru,GUJARATI
2019,Mojma Revu Re (Essays),Ratilal Borisagar,GUJARATI
2018,Vibhajanni Vyatha (Essays) ,Sharifa Vijliwala,GUJARATI
2017,Gujarati Vyakaranna Baso Varsh (Criticism),Urmi Ghanshyam Desai,GUJARATI
2016,Anekek (Poetry),Kamal Vora,GUJARATI
2015,Antey Aarambh (Part-I & II)(Essays),Rasik Shah,GUJARATI
2014,Chhabi Bhitarani (Essays),(late) Ashvin Mehta,GUJARATI
2013,Khara Zaran (Poetry),Chinu Modi,GUJARATI
2012,Sakshibhasya (Criticism),Chandrakant Topiwala,GUJARATI
2011,Anchaio (Short Stories),Mohan Parmar,GUJARATI
2010,Chhavani (Novel),Dhirendra Mehta,GUJARATI
2009,Vaat Apna Vivechanani (Criticism),Shirish J. Panchal,GUJARATI
2008,Fatfatiun (Short Stories),Suman Shah,GUJARATI
2007,Gazal-Samhita (Poetry),Rajendra Shukla,GUJARATI
2006,Aatano Suraj (Essays),Ratilal ‘Anil’,GUJARATI
2005,Akhand Zalar Vage (Poetry),Suresh Dalal,GUJARATI
2004,Saundaryani Nadi Narmada (Traveloque),Amritlal Vegad,GUJARATI
2003,Akhepatar (Novel),Bindu Bhatt,GUJARATI
2002,Tattvamasi (Novel),Dhruv Prabodhrai Bhatt,GUJARATI
2001,Agantuk (Novel),Dhiruben Patel,GUJARATI
2000,Dhundhabhari Khin (Novel),Vinesh Antani,GUJARATI
1999,Gujarati Sahiyta-Purvardha Uttarardha (Criticism),Niranjan N. Bhagat,GUJARATI
1998,Vank-dekham Vivechano (Criticism),Jayant Kothari,GUJARATI
1997,Kuvo (Novel),Ashokpuri Goswami,GUJARATI
1996,Andhari Galima Safed Tapakan (Short stories),Himanshi Shelat,GUJARATI
1995,Ansar (Novel),Varsha M. Adalja,GUJARATI
1994,Vitan Sud Beej (Poetry),Ramesh Parekh,GUJARATI
1993,Agnikundaman Ugelun Gulab (Biography),Narayan Desai,GUJARATI
1992,Devoni Ghati (Travelogue),Bholabhai Patel,GUJARATI
1991,Tolan Aawaz Ghunghat (Poetry),Labhshanker Thaker,GUJARATI
1990,Statue (Essays),Anil R. Joshi,GUJARATI
1989,Angaliat (Novel),Joseph Macwan,GUJARATI
1988,Asooryalok (Novel),Bhagwatikumar Sharma,GUJARATI
1987,Jatayu (Poetry),Sitanshu Yashaschandra,GUJARATI
1986,Dhoolmani Paglio (Reminiscences),Chandrakant T. Sheth,GUJARATI
1985,Sat Paglan Aakashman (Novel),Kundanika Kapadia,GUJARATI
1984,Vivechanni Prakriya (Literary criticism),Ramanlal Joshi,GUJARATI
1983,Chintayami Manasa (Essays),Suresh Joshi,GUJARATI
1982,Lilero Dhal (Poetry),*Priyakant Maniar,GUJARATI
1981,Rachna ane Samrachna (Criticism),Harivallabh Bhayani,GUJARATI
1980,Anunaya (Poetry),Jayant Pathak,GUJARATI
1979,Vamal Nan Van (Poetry),*Jagdish Joshi,GUJARATI
1978,Hayati (Poetry),Harindra Dave,GUJARATI
1977,Uparvas Kathatrayi (Novel),Raghuvir Chaudhari,GUJARATI
1976,Aswattha (Poetry),N.K. Pandya ‘Ushanas’,GUJARATI
1975,Socrates (Novel),Manubhai Pancholi ‘Darshak’,GUJARATI
1974,Tartamya (Literary criticism),Anantrai M. Raval,GUJARATI
1973,Kavini Shraddha (Literary criticism),Umashankar Joshi,GUJARATI
1971,Natya Gathariyan (Travelogue),C.C. Mehta,GUJARATI
1970,Abhinavano Rasavichar (Literary criticism),Nagindas Parekh,GUJARATI
1969,Kulkathao (Pen-portraits),Swami Anand,GUJARATI
1968,Avalokana (Literary reviews) ,Sundaram (Tribhuvandas P. Luhar),GUJARATI
1967,Gujarati Bhashanum Dhwani-Swarup and Dhwani-Parivartan (Linguistic study),P.B. Pandit,GUJARATI
1965,Jeevan-Vyavastha (Essays),Kakasaheb Kalelkar,GUJARATI
1964,Naivedya (Essays),Dolarrai R. Mankad,GUJARATI
1963,Shant Kolahal (Poetry),Rajendra Shah,GUJARATI
1962,Upayana (Critical writings),V.R. Trivedi,GUJARATI
1961,Kachhnun Sanskrit Darshan (A cultural survey),Ram Singhji Rathod,GUJARATI
1960,Sharvilak (Play),Rasiklal C. Parekh,GUJARATI
1958,Darshan ane Chintan (Philosophical essays),Pandit Sukhlal,GUJARATI
1956,Brihat-Pingal (Treatise on prosody),*Ramnarayan Pathak,GUJARATI
1955,Mahadev Bhaini Diary (Memoirs),*Mahadev Desai,GUJARATI
2023,Mujhe Pahachaano (Novel),Sanjeev,HINDI
2022,Tumadi Ke Shabd (Poetry),Badri Narayan ,HINDI
2021,Samrat Ashok (Play) ,Daya Prakash Sinha ,HINDI
2020,Tokri Mein Digant ‘Their  Gatha’ : 2014 (Poetry),Anamika,HINDI
2019,Chheelate Hue Apne Ko (Poetry),Nand Kishore Acharya,HINDI
2018,Post Box No. 203-Naala Sopara (Novel),Chitra Mudgal ,HINDI
2017,Vishw Mithak Sarit Sagar (Literary Criticism),Ramesh Kuntal Megh,HINDI
2016,Paarijat (Novel),Nasira Sharma,HINDI
2015,Aag Ki Hansi (Poetry),Ramdarash Mishra,HINDI
2014,Vinayak (Novel),Ramesh Chandra Shah,HINDI
2013,Miljul Man (Novel) ,Mridula Garg,HINDI
2012,Patthar Fenk Raha Hoon (Poetry),Chandrakant Devtale,HINDI
2011,Rehan Per Raghu (Novel),Kashinath Singh,HINDI
2010,Mohan Das (Short Story),Uday Prakash,HINDI
2009,Hawa Main Hasthakshar (Poetry),Kailash Vajpeyi,HINDI
2008,Kohre Mein Kaid Rang (Novel),Govind Mishra,HINDI
2007,Inhin Hathiyaron Se (Novel),Amar Kant,HINDI
2006,Sanshyatma (Poetry),Gyanendrapati,HINDI
2005,Kyaap (Novel),Manohar Shyam Joshi,HINDI
2004,Dushchakra Mein Srista (Poetry),Viren Dangwal,HINDI
2003,Kitne Pakistan (Novel),Kamleshwar,HINDI
2002,Do Panktiyon Ke Beech (Poetry),Rajesh Joshi,HINDI
2001,Kali-Katha : Via Bypass (Novel),Alka Saraogi,HINDI
2000,Hum Jo Dekhte Hain (Poetry),Manglesh Dabral,HINDI
1999,Deewar Main Ek Khirkee Rahathi Thi (Novel),Vinod Kumar Shukla,HINDI
1998,Naye Ilake Mein (Poetry),Arun Kamal,HINDI
1997,Anubhav Ke Aakash Mein Chand (Poetry),Leeladhar Jagoori,HINDI
1996,Mujhe Chand Chahiye (Novel),Surendra Verma,HINDI
