year,book,author,language
2021,Manipurida Punshi Warigee Sahitya (Criticism),Thokchom Ibohanbi Singh,MANIPURI (Since 1973)
2020,Malangbana Kari Hai (Poetry),Irungbam Deven,MANIPURI (Since 1973)
2019,Ei Amadi Adungeigi Eethat (Novel),L. Birmangol Singh (Beryl Thanga),MANIPURI (Since 1973)
2018,Ngamkheigee Wangmada (Short Stories),Budhichandra Heisnamba,MANIPURI (Since 1973)
2017,Chahee Taret Khuntakpa (Play),Rajen Toijamba,MANIPURI (Since 1973)
2016,Cheptharaba Eshingpun (Short Stories),Moirangthem Rajen,MANIPURI (Since 1973)
2015,Ahingna Yekshilliba Mang (Poetry),Kshetri Rajen,MANIPURI (Since 1973)
2014,Khung-Gang Amasung Refugee (Poetry),Naorem Bidyasagar Singh,MANIPURI (Since 1973)
2013,Chinglon Amadagi Amada (Travelogue) ,Makhonmani Mongsaba,MANIPURI (Since 1973)
2012,Mathou Kanba DNA (Novel),Jodha C Sanasam,MANIPURI (Since 1973)
2011,Nangbu Ngaibada (Novel),Kshetri Bira,MANIPURI (Since 1973)
2010,Leikangla (Novel),M. Borkanya,MANIPURI (Since 1973)
2009,Khungangi Chithi (Poetry),Raghu Leishangthem,MANIPURI (Since 1973)
2008,Edu Ntngthou (Poetry),A.O. Memchoubi,MANIPURI (Since 1973)
2007,Imasi Nurabee (Novel),B.M. Maisnamba,MANIPURI (Since 1973)
2006,Nungshibi Greece (Travelogue),Saratchand Thiyam,MANIPURI (Since 1973)
2005,Pangal Shonbi Eishe Adomgini (Short stories),M. Nabakishore Singh,MANIPURI (Since 1973)
2004,Lanthengnariba Lanmee (Poetry),Birendrajit Naorem,MANIPURI (Since 1973)
2003,Leiyee Khara Punsi Khara (Short stories),Sudhir Naoroibam,MANIPURI (Since 1973)
2002,Mei Mamgera Budhi Mamgera (Poems),Rajkumar Bhubonsana,MANIPURI (Since 1973)
2001,Khongji Makhol (Short stories),Ningombam Sunita,MANIPURI (Since 1973)
2000,Eemagi Phanek Machet (Short stories),Laitonjam Premchand Singh,MANIPURI (Since 1973)
1999,Hi Nangbu Hondeda (Poetry),Sagolsem Lanchenba Meetei,MANIPURI (Since 1973)
1998,Nongdi Tarak-Khidare (Short stories),Keisham Priyokumar,MANIPURI (Since 1973)
1997,Bhut Amasung Maikhum (Poetry),Thangjam Ibopishak Singh,MANIPURI (Since 1973)
1996,Praloigi Meiriraktagi (Poetry),R.K. Madhubir,MANIPURI (Since 1973)
1995,Leipkalei (Play),Arambam Somorendra Singh,MANIPURI (Since 1973)
1994,Mayai Karaba Shamu (Short stories),Rajkumar Mani Singh,MANIPURI (Since 1973)
1993,Punshigi Marudyan (Novel),Arambam Biren Singh,MANIPURI (Since 1973)
1992,Tharoshangbi (Novel),A. Chitreshwar Sharma,MANIPURI (Since 1973)
1991,Numitti Asum Thengjillakali (Short stories),Yumlemban Ibomcha Singh,MANIPURI (Since 1973)
1990,Mapal Naidabasida Ei (Poetry),Nongthombam Biren Singh,MANIPURI (Since 1973)
1989,Tatkhrabha Punshi Leipul (Short stories),Nilabir Sharma Shastri,MANIPURI (Since 1973)
1988,Mamangthong Lollabadi Maninghthongda Lakaudana (Short stories),E. Sonamani Singh,MANIPURI (Since 1973)
1987,Tirtha Yatra (Poetry),E. Nilakanta Singh,MANIPURI (Since 1973)
1986,Mangi Isei (Short stories),Khumanthem Prakash Singh,MANIPURI (Since 1973)
1985,Vir Tikendrajit Road (Novel),H. Guno Singh,MANIPURI (Since 1973)
1984,Chekla Paikhrabada (Short stories),Lamabam Viramani Singh,MANIPURI (Since 1973)
1983,Karnagi Mama Amasung Karnagi Aroiba Yahip (Play),N. Ibobi Singh,MANIPURI (Since 1973)
1982,Pistal Ama Kundallei Ama (Short stories),E. Dinamani Singh,MANIPURI (Since 1973)
1981,Kalenthagi Leipaklei (Short stories),E. Rajanikanta Singh,MANIPURI (Since 1973)
1979,Boro Saheb Ongbi Sanatombi (Novel),M.K. Binodini Devi,MANIPURI (Since 1973)
1978,Ngabongkhao (Drama),G.C. Tongbra,MANIPURI (Since 1973)
1977,Aseibagi Nitaipod (Poetry),A. Minaketan Singh,MANIPURI (Since 1973)
1976,Mamang Leikai Thambal Shatley (Poetry),L. Samarendra Singh,MANIPURI (Since 1973)
1974,Ilisa Amagi Mahao (Short stories),N. Kunjamohan Singh,MANIPURI (Since 1973)
1973,Imphal Amasung Magi Nungshiki Phibam Ishing (Novel),Pacha Meitai,MANIPURI (Since 1973)
2023,Ringan (Novel),Krushnat Khot,MARATHI
2022,Ujavya Sondechya Bahulya (Novel),Praveen Dashrath Bandekar,MARATHI
2021,Baluchya Awasthantarachi Diary (Short Stories) ,Kiran Gurav ,MARATHI
2020,Udya (Novel),Nanda Khare,MARATHI
2019,Kadachit Ajoonahi (Poetry),Anuradha Patil,MARATHI
2018,Sarjanprerana ani Kavitwashodh (Literary Criticism) ,Ma. Su. Patil ,MARATHI
2017,Bolave Te Amhi (Poetry),Shrikant Deshmukh,MARATHI
2016,Aalok (Short Stories),Asaram Lomate,MARATHI
2015,Chalat-Chitravyooh (Memoirs),Arun Khopkar,MARATHI
2014,Chaar Nagarantale Maaze Viswa (Autobiography),Jayant Vishnu Naralikar,MARATHI
2013,Vachanaryachi Rojanishee (Essays) ,Satish Kalasekar ,MARATHI
2012,Phoenixchya Rakhetun Uthala Mor (Short Stories),Jayant Pawar,MARATHI
2011,Varyane Halate Raan (Essays),Grace (Manik Godghate),MARATHI
2010,Rujuvat-Asvad : Samiksha : Mimamsa (Criticism),Ashok R. Kelkar,MARATHI
2009,Chitralipi (Poetry),Vasant Abaji Dahake,MARATHI
2008,Utsukatene Mee Zopalo (Novel),Shyam Manohar,MARATHI
2007,Maharshi Vitthal Ramaji Shinde: Jeevan Va Karya (Biography),G.M. Pawar,MARATHI
2006,Bhoomi (Novel),Asha Bage,MARATHI
2005,Bhijaki Vahi (Poetry),*Arun Kolatkar,MARATHI
2004,Baromas (Novel),Sadanand Deshmukh,MARATHI
2003,Dangora : Eka Nagaricha (Novel),T.V. Saradeshmukh,MARATHI
2002,Yugant (Play),Mahesh Elkunchwar,MARATHI
2001,Tanakat (Novel),Rajan Gavas,MARATHI
2000,Panzad (Poetry),Namdeo Dhondo Mahanor,MARATHI
1999,Tamrapat (Novel),Ranganath Pathare,MARATHI
1998,Tukaram Darshan (Criticism),Sadanand Shridhar More,MARATHI
1997,Dnyaneshwaritil Laukik Srishti (Criticism),Madhukar Vasudev Dhond,MARATHI
1996,Eka Mungiche Mahabharat (Autobiography),Gangadhar Gadgil,MARATHI
1995,Raghavavel (Novel),Namdeo Kamble,MARATHI
1994,Ekun Kavita-I (Poetry),Dilip Chitre,MARATHI
1993,Mardhekaranchi Kavita: Swarup ani Sandarbha (Literary criticism),Vijaya Rajadhyaksha,MARATHI
1992,Jhada Jhadti (Novel),Vishwas Patil,MARATHI
1991,Teeka Svayamvara (Criticism),Bhalchandra Nemade,MARATHI
1990,Zombi (Autobiographical Novel),Anand Ratan Yadav,MARATHI
1989,Haravlele Diwas (Autobiography),*Prabhakar Waman Urdhwareshe,MARATHI
1988,Uchalya (Autobiography),Laxman Gaikwad,MARATHI
1987,Shri Vithal: Ek Mahasamanvaya (Literary criticism),R.C. Dhere,MARATHI
1986,Khoon Gathee (Poetry),N.G. Deshpande,MARATHI
1985,Ek Zad Ani Don Pakshi (Autobiography),Vishram Bedekar,MARATHI
1984,Garbharesheem (Poetry),Indira Sant,MARATHI
1983,Sattantar (Novel),Vyankatesh Madgulkar,MARATHI
1982,Saundaryanubhav (Literary criticism),Prabhakar Padhye,MARATHI
1981,Upara (Autobiography),Laxman Mane,MARATHI
1980,Salam (Poetry) ,Mangesh K. Padgaonkar,MARATHI
1979,"Srishti, Saundarya ani Sahityamulya (Literary criticism)",Saratchandra Muktibodh,MARATHI
1978,Nakshtranche Dene (Poetry),*C.T. Khanolkar (Arati Prabhu),MARATHI
1977,Dashpadi (Poetry),A.R. Deshpande ‘Anil’,MARATHI
1976,Smaran Gatha (Autobiographical Novel),G.N. Dandekar,MARATHI
1975,Soundarya Mimansa (Aesthetics),R.B. Patankar,MARATHI
1974,Natasamrat (Play),*V.V. Shirwadkar,MARATHI
1973,Kajalmaya (Short Stories),*G.A. Kulkarni,MARATHI
1972,Jevha Manus Jaga Hoto (Autobiography),Godavari Parulekar,MARATHI
1971,Pais (Essays),Durga Bhagwat,MARATHI
1970,Adarsha Bharat-Sevaka (Biography),N.R. Phatak,MARATHI
1969,Natyacharya Deval (Biography),S.N. Banhatti,MARATHI
1968,Yugant (Interpretation of the Mahabharata),Iravati Karve,MARATHI
1967,Bhasha: Itihas ani Bhoogol (Linguistic study),N.G. Kalelkar,MARATHI
1966,Sri Shiv Chhatrapati (Historical research),*T.S. Shejwalkar,MARATHI
1965,Vyakti ani Valli (Sketches),P.L. Deshpande,MARATHI
1964,Swami (Novel),Ranjit Desai,MARATHI
1963,Ratha-Chakra (Novel),Na. Pendse,MARATHI
1962,Anamikachi Chintanika (Philosophical reflections),P.Y. Deshpande,MARATHI
1961,Dr. Ketkar (Biography),D.N. Gokhale,MARATHI
1960,Yayati (Novel),V.S. Khandekar,MARATHI
1959,Bharadya Sahityasastra (A treatise on poetics),G.T. Deshpande,MARATHI
1958,Bahurupee (Autobiography),Chintaman Ganesh Kolhatkar,MARATHI
1956,Saundarya ani Sahitya (A study of Aesthetics),*B.S. Mardhekar,MARATHI
1955,Vaidik Samskriticha Vikas (Cultural history),Tarkateertha Shastri Laxman Joshi,MARATHI
2023,Loksahitya Ra Loksanskritiko Parichaya (Essays),Judhabir Rana,NEPALI (Since 1977)
2022,Saino (Drama),K.B. Nepali ,NEPALI (Since 1977)
2021,Usha Anirudha (Epic Poetry) ,Chhabilal Upadhyaya ,NEPALI (Since 1977)
2020,Kirayako Kokh (Novel),Shankar Dev Dhakal ,NEPALI (Since 1977)
2019,Biswa Euta Pallo Gaon (Travelogue),Salon Karthak,NEPALI (Since 1977)
2018,Kina Royeu Upamaa (Short Stories),Lok Nath Upadhyay Chapagain ,NEPALI (Since 1977)
2017,Kriti Vimarsha (Literary Criticism),Bina Hangkhim,NEPALI (Since 1977)
2016,Janmabhumi Mero Swadesh (Novel),Gita Upadhyay,NEPALI (Since 1977)
2015,Samayaka Prativimbaharu (Short Stories),Gupta Pradhan,NEPALI (Since 1977)
2014,Satta Grahan (Short Stories),Nanda Hankhim,NEPALI (Since 1977)
2013,Manka Lahar Ra Raharharu (Travelogue) ,Man Bahadur Pradhan ,NEPALI (Since 1977)
2012,Ekantavas (Short Stories),Uday Thulung,NEPALI (Since 1977)
2010,Akashlay Pani Thawan Khoji Rahechha (Poetry),*Gopi Narayan Pradhan,NEPALI (Since 1977)
2009,Gairi Gaon Ki Chameli (Short Stories),Samiran Chhetri ‘Priyadarshi’,NEPALI (Since 1977)
2008,Kehi Namileka Rekhaharu (Short Stories),Haiman Das Rai ‘Kiraf ’,NEPALI (Since 1977)
2007,Curfew (Play),Lakshman Srimal,NEPALI (Since 1977)
2006,Droha (Novel),Bhim Dahal,NEPALI (Since 1977)
2005,Jeevan GoretoMa (Novel),Krishna Singh Moktan,NEPALI (Since 1977)
2004,Shanti Shandeha (Poetry),Jos Yonjan ‘Pyasi’,NEPALI (Since 1977)
2003,Athah (Novel),Bindya Subha,NEPALI (Since 1977)
2002,Udasin Rukhharu (Novel),Prem Pradhan,NEPALI (Since 1977)
2001,Aahat Anubhuti (Short stories),Lakhi Devi Sundas,NEPALI (Since 1977)
2000,Nisansmaran (Essays),Ramlal Adhikari,NEPALI (Since 1977)
1999,Bishaun Shatabdi Ki Monalisa (Short stories),Bikram Bir Thapa,NEPALI (Since 1977)
1998,Adim Busty (Poetry),Man Prasad Subba,NEPALI (Since 1977)
1997,Veer Jatiko Amar Kahani (Biographical Essays),Mani Prasad Rai,NEPALI (Since 1977)
1996,Nihsabda (Poetry),MohanThakuri,NEPALI (Since 1977)
1995,Dr. Parasmani Ko Jiwan Yatra (Biography),Nagendramani Pradhan,NEPALI (Since 1977)
1994,Paryavekshan (Essays),Jiwan Namdung,NEPALI (Since 1977)
1993,Mrigatrishna (Short stories),Sanu Lama,NEPALI (Since 1977)
1992,Indra Dhanush (Essays),R.P. Lama,NEPALI (Since 1977)
1991,Hypocret Champ-Gurans Ra Anya Kavita (Poetry),Girmee Sherpa,NEPALI (Since 1977)
1990,Aama (Poetry),Tulsiram Sharma ‘Kashyap’,NEPALI (Since 1977)
1989,Karna-Kunti (Epic),Tulsi Bahadur Chhetri,NEPALI (Since 1977)
1988,Usha Manjari (Poetry),Pushpalal Upadhyaya,NEPALI (Since 1977)
1987,Brahmaputraka Chheu-Chhau (Novel),Lil Bahadur Chetri,NEPALI (Since 1977)
1986,Chakrabyuha (Short stories),Sharad Chhetri,NEPALI (Since 1977)
1985,Nilkanth (Novel),Matsyendra Pradhan,NEPALI (Since 1977)
1984,Samaj Darpan (Epic),Ramchandra Giri,NEPALI (Since 1977)
1983,Niyati (Novel),Indra Sundas,NEPALI (Since 1977)
1982,Binsiyako Sanskriti (Essays),M.M. Gurung,NEPALI (Since 1977)
1981,Naya Kshitij Ko Khoj (Novel),Asit Rai,NEPALI (Since 1977)
1980,Sunakhari (Novel),Okima Gwyn,NEPALI (Since 1977)
1979,Maulo (Essays),Guman Singh Chamling,NEPALI (Since 1977)
1978,Khaharey (Short stories),Shiva Kumar Rai,NEPALI (Since 1977)
1977,Nepali Upanyas Ka Adharharu (Literary criticism),Indra Bahadur Rai,NEPALI (Since 1977)
2023,Aprastuta Mrutyu (Poetry),Ashutosh Parida,ODIA
2022,Dayanadi (Poetry),Gayatribala Panda,ODIA
2021,Sarijaithiba Apera (Poetry) ,Hrushikesh Mallick ,ODIA
2020,Samudrakula Ghara (Short Stories),Yashodhara Mishra ,ODIA
2019,Bhaswati (Short Stories),Tarun Kanti Mishra,ODIA
2018,Prasanga Puruna Bhabana Nua (Literary Criticism),Dasarathi Das ,ODIA
2017,Etavatira Shilpi (Short Stories),Gayatri Saraf,ODIA
2016,Prapti (Short Stories),Paramita Satpathy,ODIA
2015,Mahishasurara Muhan (Short Stories),Bibhuti Pattanaik,ODIA
2014,Bipula Diganta (Poetry),Gopalkrushna Rath,ODIA
2013,Banaprastha (Play),Bijoy Misra,ODIA
2012,Kanta 0' Anyanya Galpa (Short Stories),Gourahari Das,ODIA
2011,Achihna Basabhumi (Novel),Kalpanakumari Devi,ODIA
2010,Jibanara Chalapathe (Autobiography),Pathani Pattnaik,ODIA
2009,Mruqaya (Poetry),Phani Mohanty,ODIA
2008,Asaranti Anasara (Poetry),Pramod Kumar Mohanty,ODIA
2007,Sukha Sanhita (Poetry),Dipak Mishra,ODIA
2006,Swarodaya (Poetry),Bansidhar Sarangi,ODIA
2005,Gopapura (Short Stories),Ramachandra Behera,ODIA
2004,Bharatiya Sanskruti O Bhagwadgita (Essays),Prafulla Kumar Mohanty,ODIA
2003,Suryasnata (Criticism),Jatindra Mohan Mohanty,ODIA
2002,Gandhi Manisha (Biography),Sarat Kumar Mohanty,ODIA
2001,Tanmaya Dhuli (Poetry),Pratibha Satpathy,ODIA
2000,Ullanghan (Short Stories),Pratibha Ray,ODIA
1999,Garbhagriha (Poetry),Haraprasad Das,ODIA
1998,Biswaku Gabakhya (Criticism),Chitta Ranjan Das,ODIA
1997,Sabutharu Dirgharati (Short stories),Chandrasekhar Rath,ODIA
1996,Mo Jeevana Sangrama (Autobiography),Satyanarayan Rajaguru,ODIA
1995,Kavyasilpi Gangadhara (Criticism),Govind Chandra Udgata,ODIA
1994,Jagata Darshanare Jagannatha (Cultural Study),Guru Charan Patnaik,ODIA
1993,Chalanti Thakura (Short stories),Santanu Kumar Acharya,ODIA
1992,Bichitra Barna (Short Stories),*Rabi Pattnayak,ODIA
1991,Ahnika (Poetry),Jagannath Prasad Das,ODIA
1990,Pata Dei (Short Stories),Binapani Mohanty,ODIA
1989,Nai Aarapari (Poetry),Bhanuji Rao,ODIA
1988,Akash Pan Nibida (Poetry),Sourindra Barik,ODIA
1987,Gharadiha (Novel),Nityananda Mahapatra,ODIA
1986,Dwa Suparna (Poetry),Soubhagya Kumar Misra,ODIA
1985,Saila Kalpa (Poetry),Rajendra K. Panda,ODIA
1984,Abhisapta Gandharba (Short stories),Mohapatra Nilamani Sahoo,ODIA
1983,Gan Majlis (Vol. Ill) (Essays),Harekrushna Mehtab,ODIA
1982,Hasyarasar Natak (One-act Plays),Gopal Chhotrai,ODIA
1981,O Andhagali (Short Stories),Akhilmohan Patnaik,ODIA
1980,Abantar (Poetry),Ananta Patnaik,ODIA
1979,Mo Kahani (Autobiography),Kunjabihari Das,ODIA
1978,Saptama Ritu (Poetry),Ramakanta Rath,ODIA
1977,Kumbhara Chaka (Autobiography),Kali Charan Patnaik,ODIA
1976,Thakura Ghara (Short Stories),Kishori Charan Das,ODIA
1975,Surya O Andhakar (Poetry),Radha Mohan Gadanayak,ODIA
1974,Sabdar Akash (Poetry),Sitakant Mahapatra,ODIA
1973,Samudra Snana (Poetry),G.P. Mohanty,ODIA
1972,Manojdasank Katha O Kahini (Short Stories),Manoj Das,ODIA
1971,Aranya Fasal (Play),Manoranjan Das,ODIA
1970,Sarisrupa (Poetry),Binod Chandra Nayak,ODIA
1969,Nila Saila (Novel),Surendra Mohanty,ODIA
1967,Odiya Sahityara Itihas (History of Literature),Suryanarayan Das,ODIA
1966,Banka O Sidha (Poetry),*Godavarish Mahapatra,ODIA
1965,Uttarayana (Poetry),Baikunthanath Patnaik,ODIA
1964,Atmajibani (Autobiography),Nilakantha Das,ODIA
1963,Kabka-1962 (Poetry),Satchidananda Raut Roy,ODIA
1961,Ardhasatabdir Odisa O Tanhire Mo Sthan (Autobiography),*Godavaris Mishra,ODIA
1958,Ka (Novel),Kanhucharan Mohanty,ODIA
1955,Amrutara Santan (Novel),Gopinath Mohanty,ODIA
2023,Mann Di Chip (Poetry),Swarnjit Savi,PUNJABI
2022,Main Aynghosh Nahi (Short Stories),Sukhjit,PUNJABI
2021,Sullan Da Salan (short Stories) ,Khalid Hussain ,PUNJABI
2020,Aam Khass (Short Stories),Gurdev Singh Rupana,PUNJABI
2019,Antheen (Short Stories),Kirpal Kazak,PUNJABI
2018,Kone Da Suraj (Poetry) ,Mohanjit ,PUNJABI
2017,Slow Down (Novel),Nachhattar,PUNJABI
2016,Masia Di Raat (Play),Swarajbir,PUNJABI
2015,Maat Lok (Novel),Jaswinder Singh,PUNJABI
2014,Agarbatti (Poetry),Jaswinder,PUNJABI
2013,Nirvaan (Novel) ,Manmohan ,PUNJABI
2012,Maha Kambani (Poetry),Darshan Buttar,PUNJABI
2011,Dhaawaan Dilli De Kingrey (Novel),Baldev Singh,PUNJABI
2010,Kaal Pehar Gharian (Poetry),Vanita,PUNJABI
2009,Tatti Tavi Da Sach (Play),Atamjit,PUNJABI
2008,Sudhar Ghar (Novel),Mitter Sain Meet,PUNJABI
2007,Kamandal (Poetry),Jaswant Deed,PUNJABI
2006,Ishk Baj Namaz Da Haz Nahi (Plays),Ajmer Singh Aulakh,PUNJABI
2005,Agni-Kalas (Short Stories),Gurbachan Singh Bhullar,PUNJABI
2004,Kavita Di Bhumika (Criticism),Sutinder Singh Noor,PUNJABI
2003,Bhagat Singh Shahid : Natak Tikri (Play),Charan Dass Sidhu,PUNJABI
2002,Pulaan Ton Paar (Poems),Harbhajan Singh Halwarvi,PUNJABI
2001,Shabdant (Poetry),Dev,PUNJABI
2000,Chauthi Koot (Short Stories),Waryam Singh Sandhu,PUNJABI
1999,Gawache Arth (Novel),Niranjan Singh Tasneem,PUNJABI
1998,Moon Di Akh (Short Stories),Mahan Bhandari,PUNJABI
1997,Taushali Di Hanso (Novel),Jaswant Singh Kanwal,PUNJABI
1996,Pakhi (Short Stories),Santosh Singh Dhir,PUNJABI
1995,Jugnoo Deeva Te Darya (Poetry),Jagtar,PUNJABI
1994,Nawen Yug De Waris (Short Stories),Mohinder Singh Sarna,PUNJABI
1993,Haneray Vich Sulgadi Varnmala (Poetry),Surjit Patar,PUNJABI
1992,Kujh Ankeha Vi (Short Stories),Prem Prakash,PUNJABI
1991,Jhanan Di Rat (Poetry),Harinder Singh Mehboob,PUNJABI
1990,Uninda Wartman (Poetry),Manjit Tiwana,PUNJABI
1989,Kahikashan (Poetry),Tara Singh Kamil,PUNJABI
1988,Galiey Chikar Duri Ghar (Autobiography),S.S. Wanjara Bedi,PUNJABI
1987,Kothe Kharak Singh (Novel),Ram Sarup Anakhi,PUNJABI
1986,Shahar Te Gran (Short Stories),S. Sujan Singh,PUNJABI
1985,Khana Badosh (Autobiography),Ajeet Cour,PUNJABI
1984,Pagal Lok (Play),Kapur Singh Ghuman,PUNJABI
1983,Anik Bishthar (Poetry),Pritam Singh Safeer,PUNJABI
1982,Amar Katha (Short Stories),Gulzar Singh Sandhu,PUNJABI
1981,Garaj Ton Footpath Teek (Poetry),V.N. Tiwari,PUNJABI
1980,Suraj Te Kehkashan (Poetry),Sukhpal Vir Singh ‘Hasrat’,PUNJABI
1979,Karuna Di Chho Ton Magron (Poetry),Jaswant Singh Neki,PUNJABI
1978,Urvar Par (Short Stories),*Gurmukh Singh Musafir,PUNJABI
1977,Kach De Vastar (Poetry),Sohan Singh Misha,PUNJABI
1976,Ba Mulahaza Hoshiar (Novel),Narenderpal Singh,PUNJABI
1975,Adh Chanani Raat (Novel),Gurdial Singh,PUNJABI
1974,Jug Badal Gaya (Novel),Sohan Singh Seetal,PUNJABI
1973,"Kal, Aj Te Balak (Play)",Harcharan Singh,PUNJABI
1972,Mittar Pyara (Play),Sant Singh Sekhon,PUNJABI
1971,Eho Hamara Jiwana (Novel),Dalip Kaur Tiwana,PUNJABI
1969,Na Dhuppe Na Chaanve (Poetry),Harbhajan Singh,PUNJABI
1968,Naven Lok (Short Stories),Kulwant Singh Virk,PUNJABI
1967,Loona (Verse-Play),Shiv Kumar,PUNJABI
1965,Ik Chhit Chanan Di (Short Stories),Kartar Singh Duggal,PUNJABI
1964,Pabbi (Poetry),Prabhjot Kaur,PUNJABI
1962,Rangmanch (History and Development of Indian Theatre),Balwant Gargi,PUNJABI
1961,Ik Miyan Do Talwaran (Novel),Nanak Singh,PUNJABI
1959,Wadda Vela (Poetry),Mohan Singh,PUNJABI
1956,Sunehure (Poetry),Amrita Pritam,PUNJABI
1955,Mere Sainya Jio (Poetry),Bhai Vir Singh,PUNJABI
2023,Palakati Preet (Poetry),Gaje Singh Rajpurohit,RAJASTHANI (Since 1974)
2022,Alekhun Amba (Play),Kamal Ranga ,RAJASTHANI (Since 1974)
2021,Mugtee (Poetry) ,Meethesh Nirmohi ,RAJASTHANI (Since 1974)
2020,Sanskriti Ri Sanatan Deeth (Essays),Bhanwar Singh Samour,RAJASTHANI (Since 1974)
2019,Bareek Baat (Short Stories),Ramsawroop Kisan,RAJASTHANI (Since 1974)
2018,Kavita Devai Deeth (Poetry) ,Rajesh Kumar Vyas,RAJASTHANI (Since 1974)
2017,Bina Hasal Pai (Criticism),Neeraj Daiya,RAJASTHANI (Since 1974)
2016,Murdjat Ar Dujee Kahaniyan (Short Stories),Bulaki Sharma,RAJASTHANI (Since 1974)
2015,Gawaad (Novel),Madhu Acharya 'Ashawadi',RAJASTHANI (Since 1974)
2014,Sundar Nain Sudha (Short Stories),Rampal Singh Rajpurohit,RAJASTHANI (Since 1974)
2013,Aanthyoi Nahi Din Hal (Poetry),Ambika Dutt ,RAJASTHANI (Since 1974)
2012,Aankh Hinye Ra Hariyal Sapana (Poetry),Aaidan Singh Bhati,RAJASTHANI (Since 1974)
2011,Joon-Jatra (Novel),Atul Kanakk,RAJASTHANI (Since 1974)
2010,Meeran (Poetry),Manqat Badal,RAJASTHANI (Since 1974)
2009,Mai Eida Poot Jan (Short Stories),Ratan Jangid,RAJASTHANI (Since 1974)
2008,Paqarva (Short Stories),Dinesh Panchal,RAJASTHANI (Since 1974)
2007,Aalochana Ree Aankh Sun (Criticism),Kundan Mali,RAJASTHANI (Since 1974)
2006,Poornamidam (Plays),Laxmi Narayan Ranga,RAJASTHANI (Since 1974)
2005,Kisturi Mirag (Short Stories),Chetan Swami,RAJASTHANI (Since 1974)
2004,Samhi Khulto Marag (Novel),Nand Bhardwaj,RAJASTHANI (Since 1974)
2003,Simaran (Poetry),Santosh Mayamohan,RAJASTHANI (Since 1974)
2002,Jiv Ri Jaat (Short Stories),Bharat Ola,RAJASTHANI (Since 1974)
2001,Gharano (Novel),Abdul Vaheed ‘Kamal’,RAJASTHANI (Since 1974)
2000,Kankoo Kabandh (Play),Jaya Prakash Pandya ‘Jyotipunj’,RAJASTHANI (Since 1974)
1999,Seer Ro Ghar (Poetry),Vasu Acharya,RAJASTHANI (Since 1974)
1998,Ud Ja Re Sua (Novel),Shanti Bharadwaj ‘Rakesh’,RAJASTHANI (Since 1974)
1997,Utaryo Hal Abho (Poetry),Malchand Tiwari,RAJASTHANI (Since 1974)
1996,Olun Ri Akhiyatan (Memoirs),Nem Narayan Joshi,RAJASTHANI (Since 1974)
1995,Kookh Padyai Ree Peed (Poetry),Kishore Kalpanakant,RAJASTHANI (Since 1974)
1994,Mati Ri Mahak (Short Stories),Karnidan Barhath,RAJASTHANI (Since 1974)
1993,Adhura Supna (Short Stories),Nrisingh Rajpurohit,RAJASTHANI (Since 1974)
1992,Dharam Judh (Plays),Arjun Deo Charan,RAJASTHANI (Since 1974)
1991,Mhari Kavitavan (Poetry),Premji Prem,RAJASTHANI (Since 1974)
1990,Uchhalo (Poetry),Rewatdan Charan ‘Kalpit’,RAJASTHANI (Since 1974)
1989,Jamaro (Short Stories),Yadavendra Sharma ‘Chandra’,RAJASTHANI (Since 1974)
1988,Anahad Naad (Poetry),Bhagwati Lal Vyas,RAJASTHANI (Since 1974)
1987,Saglonri Peeda Swatmegh (Poetry),Nain Mal Jain,RAJASTHANI (Since 1974)
1986,Dwarka (Poetry),Mahavir Prasad Joshi,RAJASTHANI (Since 1974)
1985,Ek Duniya Mhari (Short Stories),Sanwar Daiya,RAJASTHANI (Since 1974)
