year,book,author,language
1984,Maru-Mangal (Poetry),Sumer Singh Sekhawat,RAJASTHANI (Since 1974)
1983,Ga-Geet (Poetry),Mohan Alok,RAJASTHANI (Since 1974)
1982,Chasmadith Gawah (Short Stories),Moolchand ‘Pranesh’,RAJASTHANI (Since 1974)
1981,Barsan Ra Degoda Dungar Langhiyan (Poetry),Narayan Singh Bhati,RAJASTHANI (Since 1974)
1980,Mharo Gaon (Poetry),Rameshwar Dayal Shrimali,RAJASTHANI (Since 1974)
1979,Paagi (Poetry),Chandra Prakash Deval,RAJASTHANI (Since 1974)
1978,Mevai Ra Runkh (Novel),Anna Ram ‘Sudama’,RAJASTHANI (Since 1974)
1977,Bol Bharamli (Poetry),Satya Prakash Joshi,RAJASTHANI (Since 1974)
1976,Leeltans (Poetry),Kanhaiyalal Sethia,RAJASTHANI (Since 1974)
1975,Pagfero (Poetry),Mani Madhukar,RAJASTHANI (Since 1974)
1974,Batan Ri Phulwari Vol. X (Folk-tales),Vijay Dan Detha,RAJASTHANI (Since 1974)
2023,Shunye Meghganam (Poetry),Arun Ranjan Mishra,SANSKRIT
2022,Deepmanikyam (Poetry),Janardan Prasad Pandey ‘Mani’,SANSKRIT
2021,"Srijati Shankhnadam Kil, Kavita (Poetry) ",Vindeshwariprasad Mishr 'Vinay' ,SANSKRIT
2020,Vaishali (Novel),Mahesh Chandra Sharma  Gautam,SANSKRIT
2019,Prajnachakshusham (Poetry),Penna Madhusudan,SANSKRIT
2018,Mama Janani (Poetry),Rama Kant Shukla,SANSKRIT
2017,Gangaputravadanam (Poetry),Niranjan Mishra,SANSKRIT
2016,Kavyanirjhari (Poetry),Sitanath Acharya,SANSKRIT
2015,Vanadevi (Epic),Ram Shankar Awasthi,SANSKRIT
2013,Chaladuravani (Poetry) ,Radhakant Thakur ,SANSKRIT
2012,Laghupadhyaprhbandhatrayi (Poetry),Ramji Thakur,SANSKRIT
2011,Bharatayanam (Poetry),Harekrishna Satapathy,SANSKRIT
2010,Bharqviyam (Poetry),Mithila Prasad Tripathi,SANSKRIT
2009,Anabheepsitam (Short Stories),Prashasya Mitra Shastri,SANSKRIT
2008,Rasapriya-Vibhavanam (Poetry),Om Prakash Pandey,SANSKRIT
2007,Chet Re Cikayena (Play),Kherwal Saren,SANSKRIT
2006,Tava Sparshe Sparshe (Poetry),Harshdev Madhav,SANSKRIT
2005,Sri Bhargava Raghaviyam (Epic),Swami Rambhadracharya,SANSKRIT
2004,Akhyanavallari (Fiction),Kala Nath Shastri,SANSKRIT
2003,Nirjharini (Poetry),Bhaskaracharya Tripathi,SANSKRIT
2002,Harsacarita-Manjari (Poetry),Kashinath Mishra,SANSKRIT
2001,Ko Vai Rasah (Essays),P. Sri. Ramachandrudu,SANSKRIT
2000,Jagadguru Sri Chandrasekharendra Saraswati Vijayam (Poetry),S. Srinivasa Sarma,SANSKRIT
1999,Tadeva Gaganam Saivadhara (Poetry),Shriniwas Rath,SANSKRIT
1998,Pratanini (Poetry),Bachchoolal Awasthi,SANSKRIT
1997,Triveni (Poetry),Shyam Dev Parashar,SANSKRIT
1996,Isha (Poetry),Keshab Chandra Dash,SANSKRIT
1995,Sri Radha Panchashati (Poetry),Rasik Vihari Joshi,SANSKRIT
1994,Sandhanam (Poetry),Radhavallabh Tripathi,SANSKRIT
1993,Jayantika (Prose Romance),Jaggu Vakula Bhushana,SANSKRIT
1992,Bhishma Charitam (Epic),Hari Narayan Dikshit,SANSKRIT
1991,Svatantrya Sambhavam (Poetry),Rewa Prasad Dwivedi,SANSKRIT
1990,Srimat-Pratapa-Ranayanam Mahakavyam (Poetry),Ogeti Parikshit Sharma,SANSKRIT
1989,Sandhya (Poetry),Ram Karan Sharma,SANSKRIT
1988,Ikshugandha (Short Stories),Rajendra Mishra,SANSKRIT
1987,Avinasi (Novel),Biswanarayan Shastri,SANSKRIT
1986,Sri Radhacarita Mahakavyam (Epic),Kalika Prasad Shukla,SANSKRIT
1985,Vindhyavasini Vijaya Mahakavyam (Epic),Vasant Trimbak Shevde,SANSKRIT
1984,Sindhu-Kanya (Historical Novel),Shrinath S. Hasurkar,SANSKRIT
1983,Shri Sambulingeswar Vijaya Campu (Biography),Pandharinathacharya Galgali,SANSKRIT
1982,Visvabhanu (Epic),P.K. Narayana Pillai,SANSKRIT
1981,Kapishayani (Poetry),Jagannath Pathak,SANSKRIT
1980,Krishtubhagavatam (Epic),P.C. Devassia,SANSKRIT
1979,Keralodayah (Epic),K.N. Ezhuthachan,SANSKRIT
1977,Buddhavijayakavyam (Poetry),Shanti Bhikshu Shastri,SANSKRIT
1974,Shrishivarajyodayam (Epic Poem),S.B. Varnekar,SANSKRIT
1973,Sritilakayasornavah (Epic),*M.S. Aney,SANSKRIT
1970,Shabdatarangini (Treatise on Verbal Cognition),V. Subramanya Sastri,SANSKRIT
1968,Srigurugovindasimhacharitam (Poetry),Satyavrat Shastri,SANSKRIT
1967,Chitrakavya Kautukam (Poetry),Ramaroop Pathak,SANSKRIT
1966,Bhoja’s Sringara Prakasa (Aesthetics),V. Raghavan,SANSKRIT
1964,Tantrik Vanmaya men Shaktadrishti (Treatise in Hindi),Mm. Gopinath Kaviraj,SANSKRIT
1963,A History of Dvait School of Vedanta and its Literature (Research),B.N. Krishnamurti Sharma,SANSKRIT
1961,Vaidik Vijnan aur Bharatiya Sanskriri (A study in Hindi) (Research),Giridhar Sharma Chaturvedi,SANSKRIT
1956,History of Dharma Sastra Vol. IV (Research),P.V. Kane,SANSKRIT
2023,Jaba Baha (Short Stories),Taraceen Baskey (Turia Chand Baskey),SANTHALI (Since 2005)
2022,Sabarnaka Balire Sanan’ Panjay (Poetry),Kajli Soren (Jagannath Soren),SANTHALI (Since 2005)
2021,Mane Rena Arhang (Short Stories) ,Niranjan Hansda ,SANTHALI (Since 2005)
2020,Gur Dak Kasa Dak (Poetry),Rupchand Hansdah,SANTHALI (Since 2005)
2019,Sisirjali (Short Stories),Kali Charan Hembram,SANTHALI (Since 2005)
2018,Marom (Novel) ,Shyam Besra 'Jiwi Rarec',SANTHALI (Since 2005)
2017,Tahena.n Tangi re (Poetry),Bhujanga Tudu,SANTHALI (Since 2005)
2016,Nalha (Poetry),Gobinda Chandra Majhi,SANTHALI (Since 2005)
2015,Parsi Khatir (Play),Rabilal Tudu,SANTHALI (Since 2005)
2014,Mala Mudam (Play),Jamadar Kisku,SANTHALI (Since 2005)
2013,Chanda Bonga (Poetry) ,Arjun Charan Hembram,SANTHALI (Since 2005)
2012,Banchaw Akan Goj Hor (Short Stories),Gangadhar Hansda,SANTHALI (Since 2005)
2011,Banchao Larhai (Poetry),Aditya Kumar Mandi,SANTHALI (Since 2005)
2010,Rahi Ranwak’ Kana (Play),Bhoqla Soren,SANTHALI (Since 2005)
2009,Say Sahed (Poetry),Damayanti Beshra,SANTHALI (Since 2005)
2008,Manmi (Short Stories),Badal Hembram,SANTHALI (Since 2005)
2007,Chet Re Cikayana (Play),Kherwal Saren,SANTHALI (Since 2005)
2006,Guru Gomke Pondet Raghunath Murmu (Biography),Ram Chandra Murmu,SANTHALI (Since 2005)
2005,Bhabna (Poetry),Jadumani Besra,SANTHALI (Since 2005)
2023,Hathu Pakidijain (Poetry-Ghazal),Vinod Asudani,SINDHI (Since 1959)
2022,Sindhi  Sahit Jo Mukhtasar Itihas (Literary History)  ,Kanhaiyalal Lekhwani ,SINDHI (Since 1959)
2021,Nena Nindakhra (Poetry) ,Arjun Chawla ,SINDHI (Since 1959)
2020,Jehad (Plays),Jetho Lalwani,SINDHI (Since 1959)
2019,Jeejal (Short Stories),Ishwar Moorjani,SINDHI (Since 1959)
2018,Jia Mein Taandaa (Poetry),Khiman U Mulani ,SINDHI (Since 1959)
2017,Aachhende Laja Maraan (Essays),Jagdish Lachhani,SINDHI (Since 1959)
2016,Akhar Katha (Poetry),Nand Javeri,SINDHI (Since 1959)
2015,Mahengi Murk (Short Stories),Maya Rahi,SINDHI (Since 1959)
2014,Sija Agyaan Buku (Poetry),Gope Kamal,SINDHI (Since 1959)
2013,Mansh-Nagari (Poetry),Namdev Tarachandani ,SINDHI (Since 1959)
2012,Miteea Khaan Miteea Taaeen (Short Stories),Indra Vaswani,SINDHI (Since 1959)
2011,...Ta Khawaban Jo Chha Thindo (Plays),Mohan Geham,SINDHI (Since 1959)
2010,Ajan Yaad Aahe (Poetry),Laxman Dubey,SINDHI (Since 1959)
2009,Rishtan Jee Siyasat (Short Stories),Anand Khemani,SINDHI (Since 1959)
2008,Sirjan Jo Sankat Ain Sindhi Kahani (Criticism),Hiro Shewkani,SINDHI (Since 1959)
2007,Vijoon Vasan Aayoon (Plays),Vasudev ‘Nirmal’,SINDHI (Since 1959)
2006,Dharti-A-Jo-Sad (Plays),Kirat Babani,SINDHI (Since 1959)
2005,Andhero Roshan Thiye (Poetry),Dholan ‘Rahi’,SINDHI (Since 1959)
2004,Kavita Khan Kavita Tain (Criticism),Satish Rohra,SINDHI (Since 1959)
2003,Tahqiq Ain Tanqeed (Essays),Hiro Thakur,SINDHI (Since 1959)
2002,Udamandarh Arman (Short Stories),Hari Himthani,SINDHI (Since 1959)
2001,Bhagat (Poetry),Prem Prakash,SINDHI (Since 1959)
2000,Taka Tora (Criticism),Param A. Abichandani,SINDHI (Since 1959)
1999,Barf Jo Thahiyal (Poetry),Vasdev Mohi,SINDHI (Since 1959)
1998,Zaizalo (Plays),Shyam Jaisinghani,SINDHI (Since 1959)
1997,Tandana (Andheri Raat Mein) (Poetry),Ishwar Anchal,SINDHI (Since 1959)
1996,Gufa Je Hun Paar (Short Stories),Lakhmi Khilani,SINDHI (Since 1959)
1995,Ajho (Novel),Hari Motwani,SINDHI (Since 1959)
1994,Aarsi-A-Aado (Novel),Kala Prakash,SINDHI (Since 1959)
1993,Hathayogi (Novel),Tara Mirchandani,SINDHI (Since 1959)
1991,Soche Joon Sooratoon (Poetry),Harikant Jethwani,SINDHI (Since 1959)
1990,Shishe-Ja-Ghar (Poetry),Goverdhan Mahboobani,SINDHI (Since 1959)
1989,Bahi Ja Warisa (Poetry),M. Kamal,SINDHI (Since 1959)
1988,Se Sab Sandhyam Saah Sen (Travelogue),Moti Prakash,SINDHI (Since 1959)
1987,Chaliha-Chorasi (Literary Criticism),Harish Vaswani,SINDHI (Since 1959)
1986,Vichoro (Short Stories),Sundri A. Uttamchandani,SINDHI (Since 1959)
1985,Mero Sij (Poetry),Arjan ‘Hasid’,SINDHI (Since 1959)
1984,Uha Shaam (Short Stories),Mohan Kalpana,SINDHI (Since 1959)
1983,Andho Doonhon (Poetry),Arjan Mirchandani ‘Shad’,SINDHI (Since 1959)
1982,Munhinji Hayati-a-Ja Sona Ropa Warq (Autobiography),Popati R. Hiranandani,SINDHI (Since 1959)
1981,Surkh Gulaab-Suraha Khwaab (Poetry),Prabhu ‘Wafa’,SINDHI (Since 1959)
1980,Yad Hika Pyar Ji (Novel),Krishin Khatwani,SINDHI (Since 1959)
1979,Pal Pal Jo Parlao (Poetry),Hari Daryani ‘Dilgir’,SINDHI (Since 1959)
1978,Cheekh (Poetry),H.I. Sadarangani,SINDHI (Since 1959)
1976,Jee-a-Jharoko (Poetry),Laxman Bhatia ‘Komal’,SINDHI (Since 1959)
1974,Hunaje Atam Jo Maut (Novel),Lal Pushp,SINDHI (Since 1959)
1973,Pyar Ji Pyas (Novel),Gobind Malhi,SINDHI (Since 1959)
1972,Aparajita (Short Stories),Guno Samtaney,SINDHI (Since 1959)
1971,Kumach (Poetry),Krishin Rahi,SINDHI (Since 1959)
1970,Wari-a-Bharyo Palaand (Poetry),Narayan ‘Shyam’,SINDHI (Since 1959)
1969,Sindhi Nasr Ji Tarikh (History of Sindhi Prose),M.U. Malkani,SINDHI (Since 1959)
1968,Shah Jo Rasalo (Mujamil) (Evaluation),Kalyan B. Advani,SINDHI (Since 1959)
1966,Surahi (Poetry),Lekhraj Kishinchand ‘Aziz’,SINDHI (Since 1959)
1964,Anokha Azmooda (Reminiscences),Ram Panjwani,SINDHI (Since 1959)
1959,Kanwar (Biography),Tirth Basant,SINDHI (Since 1959)
2023,Neervazhi Paduvum (Novel),Rajasekaran (Devibharathi),TAMIL
2022,Kaala Paani (Novel),M. Rajendran,TAMIL
2021,Civappuk Kazuttu Tan Oru Paccaip Paravai (Short Stories),Ambai ,TAMIL
2020,Sellaatha Panam (Novel),Imaiyam,TAMIL
2019,Sool (Novel),Cho. Dharman,TAMIL
2018,Sanchaaram (Novel) ,S. Ramakrishnan,TAMIL
2017,Kaandhal Naatkal (Poetry),(Late) Inqulab ,TAMIL
2016,Oru Siru Isai (Short Stories),Vannadhasan,TAMIL
2015,Ilakkiya Suvadugal (Essays),A. Madhavan,TAMIL
2014,Agngnaadi (Novel),Poomani,TAMIL
2013,Korkai (Novel) ,R.N. Joe D’ Cruz ,TAMIL
2012,Thol (Novel),D. Selvaraj,TAMIL
2011,Kaval Kottam (Novel),S. Venkatesan,TAMIL
2010,Soodiya Poo Soodarka (Short Stories),Nanjil Nadan,TAMIL
2009,Kaiyappam (Poetry),Puviyarasu,TAMIL
2008,Minsarapoo (Short Stories),Melanmai Ponnusamy,TAMIL
2007,Ilai Uthir Kaalam (Novel),Neela Padmanabhan,TAMIL
2006,Akayathukku Aduthaveedu (Poetry),Mu Metha,TAMIL
2005,Kalmaram (Novel),G. Thilakavathi,TAMIL
2004,Vanakkam Valluva (Poetry),Tamilanban,TAMIL
2003,Kallikattu Ithikasam (Novel),R. Vairamuthu,TAMIL
2002,Oru Giraamattu Nadi (Poems),Sirpi Balasubramaniam,TAMIL
2001,Sutanthira Daagam (Novel),*C.S. Chellappa,TAMIL
2000,Vimarsanangal Mathi Puraikal Pettikal (3 Parts) (Criticism),Thi.Ka. Sivasankaran,TAMIL
1999,Aalapanai (Poetry),S. Abdul Rahman,TAMIL
1998,Visaranai Commission (Novel),Sa. Kandasamy,TAMIL
1997,Chaivu Narkali (Novel),Thoppil Mohamed Miran,TAMIL
1996,Appavin Snehidar (Short Stories),Ashokamitran,TAMIL
1995,Vaanam Vasappadum (Novel),Prapanchan,TAMIL
1994,Pudhiya Dharisanangal (Novel),Ponneelan (Kandeswara Bhaktavalsalan),TAMIL
1993,Kathukal (Novel),M.V. Venkataram,TAMIL
1992,Kutralakurinji (Historic Novel),Kove. Manisekaran,TAMIL
1991,Gopallapurarthu Makkal (Novel),Ki. Rajanarayanan,TAMIL
1990,Veril Pazhutha Pala (Novel),Su. Samuthiram,TAMIL
1989,Chintanadi (Autobiographical Essays),L.S. Ramamirtham,TAMIL
1988,Vazhum Valluvam (Literary Criticism),V.C. Kulandaiswamy,TAMIL
1987,Mudalil Iravu Varum (Short Stories),*Aadhavan Sundaram,TAMIL
1986,Ilakkiyathukku Oru lyakkam (Literary Criticism),Ka. Naa. Subramanyam,TAMIL
1985,Kamban: Putiya Parvai (Literary Criticism),A.S. Gnanasambandan,TAMIL
1984,Oru Kaveriyai Pola (Novel),Thirupurasundari ‘Lakshmi’,TAMIL
1983,Bharathi: Kalamum Karuthum (Literary Criticism),T.M.C. Raghunathan,TAMIL
1982,Manikkodikalam (Literary History),B.S. Ramaiya,TAMIL
1981,Puthiya Urai Nadai (Literary Criticism),M. Ramalingam,TAMIL
1980,Cheraman Kadali (Novel),Kannadasan,TAMIL
1979,Sakthi-Vaithiyam (Short Stories),T. Janakiraman,TAMIL
1978,Pudukavkhaiyin Thottramum Valarchiyum (Literary Criticism),Vallikannan,TAMIL
1977,Kuruthi-P-Punal (Novel),Indira Parthasarathi,TAMIL
1975,Tharkkala Tamizh Illakkiyam (Literary Criticism),R. Dhandayudham,TAMIL
1974,Thirukkural Nedhi Illakkiyam (Literary Criticism),K.D. Thirunavukkarasu,TAMIL
1973,Verukku Neer (Novel),Rajam Krishnan,TAMIL
1972,Sila Nerangalil Sila Manithargal (Novel),D. Jayakanthan,TAMIL
1971,Samudaya Veedhi (Novel),Naa. Parthasarathy,TAMIL
1970,Anbalippu (Short Stories),*G. Alagirisami,TAMIL
1969,Pisirantaiyar (Play),*Bharatidasan,TAMIL
1968,Vellai Paravai (Poetry),A. Srinivasa Raghavan,TAMIL
1967,Virar Ulagam (Literary Criticism),K.V. Jagannathan,TAMIL
1966,Vallalar Kanda Orumaippadu (Biography),M.P. Sivagnanam,TAMIL
1965,Sri Ramanujar (Biography),P. Sri Acharya,TAMIL
1963,Vengaiyin Maindhan (Novel),‘Akilon’ (P. V. Akilandam),TAMIL
1962,Akkarai Cheemaiyil (Travelogue),Somu (Mi. Pa. Somasundaram),TAMIL
1961,Agal Vilakku (Novel),Mu. Varadarajan,TAMIL
1958,Chakravarti Tirumagan (Ramayana retold in Prose),C. Rajagopalachari,TAMIL
1956,Alai Osai (Novel),*R. Krishnamurti 'Kalki',TAMIL
1955,Tamil Inbam (Essays),R.P. Sethu Pillai,TAMIL
2023,Rameshwaram Kaakulu Marikonni Kathalu (Short Stories),T. Patanjali Sastry,TELUGU
2022,Manodharmaparagam (Novel),Madhuranthakam Narendra ,TELUGU
2021,Vallankitaalam (Poetry) ,Gorati Venkanna ,TELUGU
2020,Agniswaasa (2015-2017) (Poetry),Nikhileswar,TELUGU
2019,Septabhoomi (Novel),Bandi Narayana Swamy,TELUGU
2018,Vimarshini (Essays),Kolakaluri Enoch,TELUGU
2017,Gaali Rangu (Poetry),Devipriya,TELUGU
2016,Rajanigandha (Poetry),Papineni Sivasankar,TELUGU
2015,Vimuktha (Short Stories),Volga,TELUGU
2014,Mana Navalalu-Mana Kathanikalu (Literary Criticism),Rachapalem Chandrashekara Reddy,TELUGU
2013,Sahityaakashmlo Sagam (Essays) ,Katyayani Vidmahe ,TELUGU
2012,Peddibhotla Subbaramaiah Kathalu - Vol-1 (Short Stories),Peddibhotla Subbaramaiah,TELUGU
2011,Swaralayalu (Essays),*Samala Sadasiva,TELUGU
2010,Kaluthunna Poolathota (Novel),Syed Saleem,TELUGU
2009,Draupadi (Novel),Yarlagadda Lakshmi Prasad,TELUGU
2008,Purushothamudu (Novel),Chitiprolu Krishna Murthy,TELUGU
2007,Satapatramu (Autobiography),(late) Gadiyaram Ramakrishna Sarma,TELUGU
2006,Astivanadam Aavali Teerana (Short Stories),Munipalle B. Raju,TELUGU
2005,Tana Margam (Short Stories),Abburi Chayadevi,TELUGU
2004,Kalarekhalu (Novel),Naveen,TELUGU
2003,Sri Krishna Chandrodayamu (Poetry),Utpala Satyanarayanacharya,TELUGU
2002,Smrti Kinankam (Essays),Chekuri Rama Rao,TELUGU
2001,Hampi Nunchi Harappa Daka (Autobiography),*Tirumala Ramachandra,TELUGU
2000,Kalanni Nidra Ponivvanu (Poetry),N. Gopi,TELUGU
1999,Katha Silpam (Essays),Vallampati Venkata Subbaiah,TELUGU
1998,Balivada Kantha Rao Kathalu (Short Stories),Balivada Kantha Rao,TELUGU
1997,Swapna Lipi (Poetry),Ajanta (P.V. Shastri),TELUGU
1996,Kethu Vishwanatha Reddy Kathalu (Short Stories),Ketu Viswanatha Reddy,TELUGU
1995,Yajnam To Tommidi (Short Stories),Kalipatnam Rama Rao,TELUGU
1994,Kala Rekha (Criticism),Gunturu Seshendra Sharma,TELUGU
1993,Madhuranthakam Rajaram Kathalu (Short Stories),Madhuranthakam Rajaram,TELUGU
1992,Hrudaya Netri (Novel),Malati Chendur,TELUGU
1991,"Itlu, Mee Vidheyudu (Short Stories)",Bhamidipati Ramagopalam,TELUGU
1990,Mohana-O-Mohana (Poetry),K. Siva Reddy,TELUGU
1989,Mani Pravalamu (Essays),S.V. Joga Rao,TELUGU
1988,Anuvaada Samasyalu (Criticism),*Rachamallu Ramachandra Reddi,TELUGU
1987,Gurazada Gurupeetham (Essays),Arudra,TELUGU
1986,Andhra Sahitya Vimarsa Angla Prabhavam (Literary Criticism),G.S. Subrahmanyam,TELUGU
1985,Gaalivana (Short Stories),*P. Padmaraju,TELUGU
1984,Aagama Geeti (Poetry),*Aluri Bairagi,TELUGU
1983,Jeevana Samaram (Sketches),R. Bharadwaja,TELUGU
1982,Swarna Kamalaalu (Short Stories),I. Saraswati Devi,TELUGU
1981,Seeta Josyam (Play),V.R. Narla,TELUGU
1979,Janapriya Ramayanam (Poetry),P. Narayanacharya,TELUGU
1978,Collected Works of Krishna Sastri (6 Vols.) (Poetry and Plays),D.V. Krishna Sastri,TELUGU
1977,Kundurti Kritulu (Poetry),Kundurti Anjaneyulu,TELUGU
1975,Gudiselu Kalipotunnai (Poetry),Boyi Bhimanna,TELUGU
1974,Thimiram Tho Samaram (Poetry),Dasarathi,TELUGU
1973,Mantalu Manavudu (Poetry),C. Narayana Reddy,TELUGU
1972,Sri Sri Sahityamu (Poetry),‘Sri Sri’,TELUGU
1971,Vijayavilasamu: Hridayollasavyakhya (Commentary),Thapi Dharma Rao,TELUGU
1970,Amrutham Kurisina Rathri (Poetry),*D. Balagangadhar Tilak,TELUGU
1969,Mahatama Katha (Poetry),Thummala Seetharamamurthy,TELUGU
1965,Misra Manjari (Poetry),Rayaprolu Subbarao,TELUGU
1964,Kreestu Charitra (Poetry),G. Joshua,TELUGU
1963,Panditha Parameshwara Sastry Veelunama (Novel),T. Gopichand,TELUGU
1962,Viswanadha Madhyakkaralu (Poetry),Vishwanadha Satyanarayana,TELUGU
1961,Andhra Vaggeyakara Charitramu (A History of Telugu Composers and Song Writers) ,Balanthrapu Rajanikantha Rao,TELUGU
1960,Natyasastramu (A History of Bharata’s Natyasastra),Ponangi Srirama Apparavu,TELUGU
1957,Sri Ramakrishnuni Jivita Charitra (Biography),Chirantanananda Swami,TELUGU
1956,Bharariya Tatva Sastramu (Translation of Dr. Radhakrishnan’s History of Indian Philosophy),Bulusu Venkateswaralu,TELUGU
1955,Andhrula Sanghike Charitamu (Social history),*Suravaram Pratap Reddy,TELUGU
2023,Rajdev Ki Amrai (Novel),Sadiqua Nawab Saher,URDU
2022,Khwab Saraab (Novel),Anis Ashfaq,URDU
2021,Taza Hawa Ki Tabishen (Poetry),Chander Bhan Khayal,URDU
2020,Amawas Main Khwab  (Novel),Hussain-ul-Haque,URDU
2019,Sawaneh-E-Sir Syed: Ek Bazdeed (Biography),Shafey Kidwai,URDU
2018,Rohzin (Novel) ,Rahman Abbas ,URDU
2017,Dakhma (Short Stories),Baig Ehsas,URDU
2016,Mabad-e-Jadidiat Se Naye Ahed Ki Takhliqiyat Tak (Criticism),Nizam Siddiqui,URDU
2015,Tasawwuf Aur Bhakti (Tanqeedi Aur Taqabuli Mutalea) (Criticism),Shamim Tariq,URDU
2014,Shahdaba (Poetry),Munawwar Rana,URDU
2013,Lava (Poetry) ,Javed Akhtar ,URDU
2012,Ghurfa-i-Ghaib (Poetry),Krishna Kumar Toor,URDU
2011,Aafaaq Ki Taraf (Poetry),Khaleel Mamoon,URDU
2010,Gumshuda Dair Ki Gunjati Ghantiyan (Poetry),Sheen Kaaf Nizam,URDU
2009,Ma-assirTanqidi Rawayye (Criticism),Abul Kalam Qasmi,URDU
2008,Pencil Aur Doosn Nazmein (Poetry),Jayant Parmar,URDU
2007,Tareekh-e-Adab-e-Urdu (Criticism),Wahab Ashrafi,URDU
2006,Rasta Aur Main (Poetry),Makhmoor Saeedi,URDU
2005,Ret Per Khema (Memoirs),Jabir Husain,URDU
2004,Shikasta Buton Ke Darmiyan (Short Stories),Salam Bin Razzak,URDU
2003,Badd-E-Saba Ka Intizar (Short Stories),Syed Muhammad Ashraf,URDU
2002,Dhuan (Short Stories),Gulzar,URDU
2001,Taoos Chaman Ki Maina (Short Stories),Naiyer Masud,URDU
2000,Sookhi Tahni Par Hariyal (Poetry),Mohd. Idrees Ambar Bahraichi,URDU
1999,Aas (Poetry),Bashir Badr,URDU
1998,Khoya Hua Sa Kuchh (Poetry),Nida Fazli,URDU
1997,Gian Singh Shatir (Novel),Gian Singh Shatir,URDU
1996,Fire Area (Novel),Ilyas Ahmad Gaddi,URDU
1995,"Sakhtiyat, Pas-Sakhtiyat Aur Mashriqi Sheriyat (Literary Criticism)",Gopi Chand Narang,URDU
1994,Pichhle Mausam Ka Phool (Poetry),Mazhar Imam,URDU
1993,Pakheru (Short Stories),Ram Lall,URDU
1992,Chautha Aasmaan (Poetry),Mohammed Alvi,URDU
1991,Identity Card (Novel),Salahuddin Pervez,URDU
1990,Do Gaz Zameen (Novel),Abdus Samad,URDU
1989,Baaz Goyi (Short Stories),Surendra Prakash,URDU
1988,Aatish-e-Chinar (Autobiography),*Sheikh Muhammad Abdullah,URDU
1987,Khwab Ka Dar Band Hai (Poetry),A.M.K. Shahryar,URDU
1986,Tanquidi Afkar (Literary Criticism),Shamsur Rahman Faruqi,URDU
1985,Parindon Bhara Asmaan (Poetry),Balraj Komal,URDU
1984,Iqbal Ki Nazari-o-Amali Sheriyat (Criticism),Masud Husain Khan,URDU
1983,Tazkirah-e-Muasirin (4th Play) (Biography),Malik Ram,URDU
1982,Zikr-O-Fikr (Literary Criticism),Gian Chand Jain,URDU
1980,Iqbal Ki Terah Nazmen (Literary Criticism),A.A. Ansari,URDU
1979,Nawa-e-Awara (Poetry),Gulam Rabbani Taban,URDU
1978,Hafiz aur Iqbal (Criticism),Yusuf Husain Khan,URDU
1976,Khak-e-Dil (Poetry),*Jan Nisar Akhtar,URDU
1975,Awara Sajde (Poetry),Kaifi Azmi,URDU
1974,Nazar aur Nazariya (Literary Criticism),Ale Ahmed Suroor,URDU
1971,Ghalib Ki Shakhsiyat aur Shairi (Literary Criticism),Rasheed Ahmad Siddiqui,URDU
1970,Lahoo Ke Phool (Novel),Hayatullah Ansari,URDU
1969,Bisat-Raqs (Poetry),Makhdum Mohiuddin,URDU
1967,Patjhar Ki Awaz (Short Stories),Qurratulain Hyder,URDU
1965,Ek Chadar Maili Si (Novelette),Rajinder Singh Bedi,URDU
1964,Meri Hadis-e-Umr-e-Gurezan (Poetry),Anand Narain Mulla,URDU
1963,Aandhi Mein Chiragh (Sketches),K.G. Saiyidain,URDU
1962,Yadein (Poetry),Akthar-ul-Iman,URDU
1961,Diwan-i-Ghalib (A critical edition of Ghalib’s Poetry),Imtiaz Ali ‘Arshi’,URDU
1960,Gul-i-Naghma (Poetry),‘Firaq Gorakhpuri’ (Raghupati Sahay),URDU
1959,Urdu Drama aur Stage (History of Urdu drama and stage),Syed Masud Hasan Rizvi,URDU
1958,Atish-i-Gul (Poetry),‘Jigar Muradabadi’ (Ali Sikandar),URDU
1957,Mir Taqi Mir (Literary Criticism),K.A. Faruqui,URDU
1956,Qaumi Tehzib Ka Masala (A survey of Indian culture),S. Abid Hussain,URDU
1955,Maal aur Mashiyat (Philosophical Treatise),Zafar Hussain Khan,URDU
